Index;Type;Ticker;Yf_ticker;Cot_ticker
1;Commodities;Aluminum;ALI=F;ALUMINUM MW US TR PLATTS - COMMODITY EXCHANGE INC.
2;Commodities;Coffee;KC=F;COFFEE C - ICE FUTURES U.S.
3;Commodities;Copper;HG=F;COPPER-GRADE #1 - COMMODITY EXCHANGE INC.
4;Commodities;Corn;ZC=F;CORN - CHICAGO BOARD OF TRADE
5;Commodities;CrudeOil_LightSweetWTI;CL=F;CRUDE OIL, LIGHT SWEET-WTI - ICE FUTURES EUROPE
6;Commodities;Gold;GC=F;GOLD - COMMODITY EXCHANGE INC.
7;Commodities;Palladium;PA=F;PALLADIUM - NEW YORK MERCANTILE EXCHANGE
8;Commodities;Platinum;PL=F;PLATINUM - NEW YORK MERCANTILE EXCHANGE
9;Commodities;Silver;SI=F;SILVER - COMMODITY EXCHANGE INC.
10;Commodities;Soybeans;ZS=F;SOYBEANS - CHICAGO BOARD OF TRADE
11;Commodities;Sugar;SB=F;SUGAR NO. 11 - ICE FUTURES U.S.
12;Commodities;Wheat_SRW;ZW=F;WHEAT-SRW - CHICAGO BOARD OF TRADE
13;Financial;Australian_Dollar;6A=F;AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE
14;Financial;British_Pound;6B=F;BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE
15;Financial;Canadian_Dollar;6C=F;CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE
16;Financial;DJIA_Consolidated;YM=F;DJIA Consolidated - CHICAGO BOARD OF TRADE
17;Financial;Euro_Fx;6E=F;EURO FX - CHICAGO MERCANTILE EXCHANGE
18;Financial;Japanese_Yen;6J=F;JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE
19;Financial;Nasdaq100_Consolidated;NQ=F;NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE
20;Financial;New_Zealand_Dollar;6N=F;NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE
21;Financial;Russell2000_Index;RTY=F;E-MINI RUSSELL 2000 INDEX - CHICAGO MERCANTILE EXCHANGE
22;Financial;Russian_Rubble;6R=F;RUSSIAN RUBLE - CHICAGO MERCANTILE EXCHANGE
23;Financial;SP500_Consolidated;ES=F;S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE
24;Financial;Swiss_Franc;6S=F;SWISS FRANC - CHICAGO MERCANTILE EXCHANGE
25;Financial;US_Dollar_Index;DX=F;U.S. DOLLAR INDEX - ICE FUTURES U.S.
