Index;Type;Ticker;Yh_ticker;Cot_type;Cot_ticker
1;Agro;Coffee;KC=F;Commodities;COFFEE C - ICE FUTURES U.S.
2;Agro;Corn;ZC=F;Commodities;CORN - CHICAGO BOARD OF TRADE
3;Agro;Soybeans;ZS=F;Commodities;SOYBEANS - CHICAGO BOARD OF TRADE
4;Agro;Sugar;SB=F;Commodities;SUGAR NO. 11 - ICE FUTURES U.S.
5;Agro;Wheat_SRW;ZW=F;Commodities;WHEAT-SRW - CHICAGO BOARD OF TRADE
6;Fuel;CrudeOil_LightSweetWTI;CL=F;Commodities;CRUDE OIL, LIGHT SWEET-WTI - ICE FUTURES EUROPE
7;Metal;Aluminum;ALI=F;Commodities;ALUMINUM MW US TR PLATTS - COMMODITY EXCHANGE INC.
8;Metal;Copper;HG=F;Commodities;COPPER-GRADE #1 - COMMODITY EXCHANGE INC.
9;Metal;Gold;GC=F;Commodities;GOLD - COMMODITY EXCHANGE INC.
10;Metal;Palladium;PA=F;Commodities;PALLADIUM - NEW YORK MERCANTILE EXCHANGE
11;Metal;Platinum;PL=F;Commodities;PLATINUM - NEW YORK MERCANTILE EXCHANGE
12;Metal;Silver;SI=F;Commodities;SILVER - COMMODITY EXCHANGE INC.
13;Currency;Australian_Dollar;6A=F;Financial;AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE
14;Currency;British_Pound;6B=F;Financial;BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE
15;Currency;Canadian_Dollar;6C=F;Financial;CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE
16;Currency;Euro_Fx;6E=F;Financial;EURO FX - CHICAGO MERCANTILE EXCHANGE
17;Currency;Japanese_Yen;6J=F;Financial;JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE
18;Currency;New_Zealand_Dollar;6N=F;Financial;NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE
19;Currency;Russian_Rubble;6R=F;Financial;RUSSIAN RUBLE - CHICAGO MERCANTILE EXCHANGE
20;Currency;Swiss_Franc;6S=F;Financial;SWISS FRANC - CHICAGO MERCANTILE EXCHANGE
21;Index;DJIA_Consolidated;YM=F;Financial;DJIA Consolidated - CHICAGO BOARD OF TRADE
22;Index;Nasdaq100_Consolidated;NQ=F;Financial;NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE
23;Index;Russell2000_Index;RTY=F;Financial;E-MINI RUSSELL 2000 INDEX - CHICAGO MERCANTILE EXCHANGE
24;Index;SP500_Consolidated;ES=F;Financial;S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE
25;Index;US_Dollar_Index;DX=F;Financial;U.S. DOLLAR INDEX - ICE FUTURES U.S.
