CFTC_Contract_Market_Code;Market_and_Exchange_Names;Market_Ticker;Include
132741;EURODOLLARS-3M - CHICAGO MERCANTILE EXCHANGE;GE=F;1
134741;SOFR-3M - CHICAGO MERCANTILE EXCHANGE;SR3=F;1
023391;NAT GAS ICE LD1 - ICE FUTURES ENERGY DIV;NG=F;1
023392;NAT GAS ICE PEN - ICE FUTURES ENERGY DIV;NG=F;1
043602;UST 10Y NOTE - CHICAGO BOARD OF TRADE;ZN=F;1
044601;UST 5Y NOTE - CHICAGO BOARD OF TRADE;ZF=F;1
13874A;E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE;ES=F;1
067651;WTI-PHYSICAL - NEW YORK MERCANTILE EXCHANGE;CL=F;1
002602;CORN - CHICAGO BOARD OF TRADE;ZC=F;1
042601;UST 2Y NOTE - CHICAGO BOARD OF TRADE;ZT=F;1
045601;FED FUNDS - CHICAGO BOARD OF TRADE;ZQ=F;1
02365U;EUR STYLE NATURAL GAS OPTIONS - NEW YORK MERCANTILE EXCHANGE;NG=F;1
020601;UST BOND - CHICAGO BOARD OF TRADE;ZB=F;1
020604;ULTRA UST BOND - CHICAGO BOARD OF TRADE;UB=F;1
043607;ULTRA UST 10Y - CHICAGO BOARD OF TRADE;TN=F;1
023651;NAT GAS NYME - NEW YORK MERCANTILE EXCHANGE;NG=F;1
244042;MSCI EM INDEX - ICE FUTURES U.S.;MME=F;1
080732;SUGAR NO. 11 - ICE FUTURES U.S.;SB=F;1
005602;SOYBEANS - CHICAGO BOARD OF TRADE;ZS=F;1
023396;AECO FIN BASIS - ICE FUTURES ENERGY DIV;;0
099741;EURO FX - CHICAGO MERCANTILE EXCHANGE;6E=F;1
0233A3;DOMINION - SOUTH POINT (BASIS) - ICE FUTURES ENERGY DIV;;0
067411;CRUDE OIL, LIGHT SWEET-WTI - ICE FUTURES EUROPE;CL=F;1
0643DF;PJM WESTERN HUB RT PEAK MINI - ICE FUTURES ENERGY DIV;;0
023398;HSC FIN BASIS - ICE FUTURES ENERGY DIV;;0
13874+;S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE;ES=F;1
088691;GOLD - COMMODITY EXCHANGE INC.;GC=F;1
239742;RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE;RTY=F;1
023399;WAHA FIN BASIS - ICE FUTURES ENERGY DIV;;0
03565B;HENRY HUB - NEW YORK MERCANTILE EXCHANGE;NG=F;1
007601;SOYBEAN OIL - CHICAGO BOARD OF TRADE;ZL=F;1
001602;WHEAT-SRW - CHICAGO BOARD OF TRADE;ZW=F;1
023A55;HENRY HUB LAST DAY FIN - NEW YORK MERCANTILE EXCHANGE;NG=F;1
026603;SOYBEAN MEAL - CHICAGO BOARD OF TRADE;ZM=F;1
244041;MSCI EAFE - ICE FUTURES U.S.;MFS=F;1
209742;NASDAQ MINI - CHICAGO MERCANTILE EXCHANGE;NQ=F;1
134742;SOFR-1M - CHICAGO MERCANTILE EXCHANGE;SR1=F;1
02339U;CIG ROCKIES BASIS - ICE FUTURES ENERGY DIV;;0
057642;LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE;LE=F;1
0233DR;TETCO M2 Basis (Receipts) - ICE FUTURES ENERGY DIV;;0
073732;COCOA - ICE FUTURES U.S.;CC=F;1
023397;CHICAGO FIN BASIS - ICE FUTURES ENERGY DIV;;0
111659;GASOLINE RBOB - NEW YORK MERCANTILE EXCHANGE;RB=F;1
0233A8;EP SAN JUAN BASIS - ICE FUTURES ENERGY DIV;;0
097741;JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE;6J=F;1
011700;VIX FUTURES - CBOE FUTURES EXCHANGE;%5EVIX;1
096742;BRITISH POUND - CHICAGO MERCANTILE EXCHANGE;6B=F;1
033661;COTTON NO. 2 - ICE FUTURES U.S.;CT=F;1
0233B1;NGPL TXOK BASIS - ICE FUTURES ENERGY DIV;;0
02339Y;CG Mainline Basis - ICE FUTURES ENERGY DIV;;0
023395;NWP ROCKIES FIN BASIS - ICE FUTURES ENERGY DIV;;0
083731;COFFEE C - ICE FUTURES U.S.;KC=F;1
0233AM;HOUSTON SHIP CHANNEL (INDEX) - ICE FUTURES ENERGY DIV;;0
13874U;MICRO E-MINI S&P 500 INDEX - CHICAGO MERCANTILE EXCHANGE;ES=F;1
022651;NY HARBOR ULSD - NEW YORK MERCANTILE EXCHANGE;HOT=F;1
