Date	Wheat Price
23.03.2010	476,75
30.03.2010	472,00
06.04.2010	463,50
13.04.2010	476,00
20.04.2010	486,00
27.04.2010	478,25
04.05.2010	499,75
11.05.2010	483,75
18.05.2010	467,75
25.05.2010	460,50
01.06.2010	450,75
08.06.2010	432,25
15.06.2010	451,75
22.06.2010	460,75
29.06.2010	442,00
06.07.2010	492,75
13.07.2010	535,75
20.07.2010	577,00
27.07.2010	595,00
03.08.2010	680,00
10.08.2010	694,75
17.08.2010	651,00
24.08.2010	674,75
31.08.2010	652,50
07.09.2010	702,50
14.09.2010	704,50
21.09.2010	718,00
28.09.2010	684,75
05.10.2010	663,50
12.10.2010	710,00
19.10.2010	671,50
26.10.2010	692,00
02.11.2010	694,25
09.11.2010	721,75
16.11.2010	626,25
23.11.2010	642,00
30.11.2010	650,25
07.12.2010	743,00
14.12.2010	721,00
21.12.2010	765,00
28.12.2010	798,25
04.01.2011	789,25
11.01.2011	759,50
18.01.2011	793,25
25.01.2011	838,25
01.02.2011	835,75
08.02.2011	874,25
15.02.2011	840,25
22.02.2011	762,25
01.03.2011	775,75
08.03.2011	751,25
15.03.2011	667,75
22.03.2011	722,25
29.03.2011	737,25
05.04.2011	786,25
12.04.2011	759,50
19.04.2011	785,75
26.04.2011	811,25
03.05.2011	760,75
10.05.2011	769,00
17.05.2011	764,00
24.05.2011	779,75
31.05.2011	782,25
07.06.2011	733,75
14.06.2011	731,25
21.06.2011	674,25
28.06.2011	640,25
05.07.2011	613,75
12.07.2011	662,75
19.07.2011	693,50
26.07.2011	694,00
02.08.2011	718,00
09.08.2011	671,75
16.08.2011	724,75
23.08.2011	757,25
30.08.2011	750,25
06.09.2011	716,25
13.09.2011	688,75
20.09.2011	674,75
27.09.2011	658,25
04.10.2011	604,00
11.10.2011	660,75
18.10.2011	625,25
25.10.2011	636,25
01.11.2011	630,00
08.11.2011	657,00
15.11.2011	632,75
22.11.2011	594,00
29.11.2011	594,50
06.12.2011	598,75
13.12.2011	591,75
20.12.2011	607,75
27.12.2011	644,75
03.01.2012	657,00
10.01.2012	639,75
17.01.2012	604,75
24.01.2012	633,50
31.01.2012	666,00
07.02.2012	662,25
14.02.2012	635,00
21.02.2012	633,00
28.02.2012	662,25
06.03.2012	654,00
13.03.2012	651,50
20.03.2012	642,50
27.03.2012	639,75
03.04.2012	658,00
10.04.2012	625,75
17.04.2012	615,50
24.04.2012	624,50
01.05.2012	633,75
08.05.2012	609,00
15.05.2012	608,50
22.05.2012	685,50
29.05.2012	656,75
05.06.2012	613,25
12.06.2012	616,00
19.06.2012	649,50
26.06.2012	729,00
03.07.2012	782,25
10.07.2012	804,75
17.07.2012	885,00
24.07.2012	878,75
31.07.2012	888,25
07.08.2012	889,00
14.08.2012	839,75
21.08.2012	900,50
28.08.2012	854,75
04.09.2012	866,00
11.09.2012	860,00
18.09.2012	863,50
25.09.2012	886,50
02.10.2012	871,50
09.10.2012	864,25
16.10.2012	847,75
23.10.2012	868,75
30.10.2012	856,75
06.11.2012	877,00
13.11.2012	851,00
20.11.2012	845,00
27.11.2012	873,00
04.12.2012	838,50
11.12.2012	805,75
18.12.2012	811,25
24.12.2012	793,75
31.12.2012	778,00
08.01.2013	750,50
15.01.2013	782,75
22.01.2013	779,25
29.01.2013	777,00
05.02.2013	757,50
12.02.2013	732,00
19.02.2013	732,25
26.02.2013	705,75
05.03.2013	696,25
12.03.2013	700,50
19.03.2013	722,00
26.03.2013	731,50
02.04.2013	670,75
09.04.2013	708,75
16.04.2013	703,50
23.04.2013	697,50
30.04.2013	721,75
07.05.2013	699,50
14.05.2013	701,50
21.05.2013	680,50
28.05.2013	693,75
04.06.2013	709,00
11.06.2013	696,75
18.06.2013	687,50
25.06.2013	675,75
02.07.2013	649,50
09.07.2013	675,50
16.07.2013	669,50
23.07.2013	653,75
30.07.2013	655,25
06.08.2013	650,50
13.08.2013	628,25
20.08.2013	634,25
27.08.2013	650,75
03.09.2013	636,50
10.09.2013	633,75
17.09.2013	643,00
24.09.2013	658,25
01.10.2013	681,25
08.10.2013	693,50
15.10.2013	685,75
22.10.2013	700,75
29.10.2013	681,25
05.11.2013	656,00
12.11.2013	645,25
19.11.2013	650,25
26.11.2013	646,50
03.12.2013	653,75
10.12.2013	629,50
17.12.2013	619,75
24.12.2013	606,25
31.12.2013	605,25
07.01.2014	602,50
14.01.2014	579,25
21.01.2014	562,25
28.01.2014	566,00
04.02.2014	584,50
11.02.2014	590,25
18.02.2014	612,00
25.02.2014	615,00
04.03.2014	639,75
11.03.2014	663,25
18.03.2014	692,50
25.03.2014	708,25
01.04.2014	685,25
08.04.2014	681,00
15.04.2014	701,75
22.04.2014	673,00
29.04.2014	708,00
06.05.2014	731,75
13.05.2014	700,00
20.05.2014	670,50
27.05.2014	641,00
03.06.2014	612,50
10.06.2014	601,25
17.06.2014	581,75
24.06.2014	571,00
01.07.2014	559,75
08.07.2014	545,25
15.07.2014	537,75
22.07.2014	524,50
29.07.2014	520,00
05.08.2014	552,50
12.08.2014	538,00
19.08.2014	546,00
26.08.2014	541,50
02.09.2014	543,50
09.09.2014	527,50
16.09.2014	496,25
23.09.2014	476,00
30.09.2014	477,75
07.10.2014	506,25
14.10.2014	509,25
21.10.2014	519,25
28.10.2014	530,75
04.11.2014	530,50
11.11.2014	525,25
18.11.2014	549,00
25.11.2014	551,50
02.12.2014	605,25
09.12.2014	600,50
16.12.2014	623,25
23.12.2014	635,50
30.12.2014	602,00
06.01.2015	591,75
13.01.2015	548,00
20.01.2015	537,00
27.01.2015	519,00
03.02.2015	513,75
10.02.2015	521,75
17.02.2015	534,75
24.02.2015	505,75
03.03.2015	508,75
10.03.2015	496,50
17.03.2015	503,50
24.03.2015	523,50
31.03.2015	511,75
07.04.2015	526,00
14.04.2015	497,00
21.04.2015	500,75
28.04.2015	471,50
05.05.2015	464,00
12.05.2015	479,25
19.05.2015	510,25
26.05.2015	493,50
02.06.2015	512,50
09.06.2015	532,25
16.06.2015	488,75
23.06.2015	521,50
30.06.2015	614,75
07.07.2015	579,50
14.07.2015	583,50
21.07.2015	524,75
28.07.2015	510,75
04.08.2015	493,50
11.08.2015	507,25
18.08.2015	494,25
25.08.2015	495,00
01.09.2015	484,00
08.09.2015	465,25
15.09.2015	494,75
22.09.2015	495,50
29.09.2015	503,75
06.10.2015	526,25
13.10.2015	519,00
20.10.2015	491,25
27.10.2015	509,25
03.11.2015	516,50
10.11.2015	490,75
17.11.2015	487,50
24.11.2015	484,25
01.12.2015	456,50
08.12.2015	470,75
15.12.2015	494,25
22.12.2015	471,75
29.12.2015	475,75
05.01.2016	461,25
12.01.2016	481,25
19.01.2016	474,50
26.01.2016	484,75
02.02.2016	475,25
09.02.2016	457,50
16.02.2016	464,25
23.02.2016	448,00
01.03.2016	438,50
08.03.2016	461,25
22.03.2016	466,75
29.03.2016	476,75
05.04.2016	474,00
12.04.2016	452,50
