WeekDynamic_Classified																														
Date	WeekDynamic_Open_Interest_Total	WeekDynamic_Reportable_Positions_Net	WeekDynamic_Reportable_Positions_Long	WeekDynamic_Reportable_Positions_Short	WeekDynamic_Prod_Merc_Positions_Total	WeekDynamic_Prod_Merc_Positions_Net	WeekDynamic_Prod_Merc_Positions_Long	WeekDynamic_Prod_Merc_Positions_Short	WeekDynamic_Swap_Positions_Total	WeekDynamic_Swap_Positions_Net	WeekDynamic_Swap_Positions_Long	WeekDynamic_Swap_Positions_Short	WeekDynamic_Swap_Positions_Spread	WeekDynamic_M_Money_Positions_Total	WeekDynamic_M_Money_Positions_Net	WeekDynamic_M_Money_Positions_Long	WeekDynamic_M_Money_Positions_Short	WeekDynamic_M_Money_Positions_Spread	WeekDynamic_Other_Rept_Positions_Total	WeekDynamic_Other_Rept_Positions_Net	WeekDynamic_Other_Rept_Positions_Long	WeekDynamic_Other_Rept_Positions_Short	WeekDynamic_Other_Rept_Positions_Spread	WeekDynamic_NonRept_Positions_Total	WeekDynamic_NonRept_Positions_Net	WeekDynamic_NonRept_Positions_Long	WeekDynamic_NonRept_Positions_Short	binShort	binLong	binNeut
23.03.2010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	1	0
30.03.2010	0	0	0	0	0	0	6	0	0	0	0	0	6	0	0	0	5	3	6	0	0	0	6	0	0	0	0	0	1	0
06.04.2010	6	0	6	6	0	0	0	0	5	0	0	0	6	6	0	0	0	6	0	0	7	0	0	6	0	0	6	0	1	0
13.04.2010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	5	0	0	0	0	0	0	1	0
20.04.2010	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	5	3	0	3	5	2	6	0	3	0	3	3	0	1	0
27.04.2010	0	0	0	0	6	0	0	5	0	0	0	0	0	3	0	0	0	3	0	0	0	4	0	0	0	0	0	0	1	0
04.05.2010	0	0	0	0	5	0	0	5	0	6	5	0	0	0	0	0	3	0	0	0	6	7	3	4	0	4	0	0	1	0
11.05.2010	0	0	0	0	0	0	0	0	0	5	0	0	6	0	0	0	0	0	3	0	0	0	3	0	0	0	0	0	1	0
18.05.2010	0	0	0	0	0	0	6	0	0	0	0	0	0	7	5	0	7	0	0	0	6	0	0	6	0	0	6	0	1	0
25.05.2010	6	0	6	6	0	0	6	0	0	0	0	0	6	6	0	0	5	6	6	0	6	0	6	0	0	0	0	0	1	0
