Statistics																														
Date	Statistics_Open_Interest_Total	Statistics_Reportable_Positions_Net	Statistics_Reportable_Positions_Long	Statistics_Reportable_Positions_Short	Statistics_Prod_Merc_Positions_Total	Statistics_Prod_Merc_Positions_Net	Statistics_Prod_Merc_Positions_Long	Statistics_Prod_Merc_Positions_Short	Statistics_Swap_Positions_Total	Statistics_Swap_Positions_Net	Statistics_Swap_Positions_Long	Statistics_Swap_Positions_Short	Statistics_Swap_Positions_Spread	Statistics_M_Money_Positions_Total	Statistics_M_Money_Positions_Net	Statistics_M_Money_Positions_Long	Statistics_M_Money_Positions_Short	Statistics_M_Money_Positions_Spread	Statistics_Other_Rept_Positions_Total	Statistics_Other_Rept_Positions_Net	Statistics_Other_Rept_Positions_Long	Statistics_Other_Rept_Positions_Short	Statistics_Other_Rept_Positions_Spread	Statistics_NonRept_Positions_Total	Statistics_NonRept_Positions_Net	Statistics_NonRept_Positions_Long	Statistics_NonRept_Positions_Short	binShort	binLong	binNeut
23.03.2010	431145	19645	399163	379518	182839	-107807	37516	145323	251887	175576	208607	33031	10249	189430	-43117	54782	97899	36749	73182	-5007	16915	21922	34345	83609	-19645	31982	51627	0	1	0
30.03.2010	443007	18869	410086	391217	185520	-99234	43143	142377	257031	174819	209653	34834	12544	193956	-51619	54380	105999	33577	79648	-5097	17762	22859	39027	84711	-18869	32921	51790	0	1	0
06.04.2010	460651	21046	426313	405267	189513	-97175	46169	143344	264907	173648	211539	37891	15477	201873	-53041	55540	108581	37752	83125	-2386	20903	23289	38933	89722	-21046	34338	55384	0	1	0
13.04.2010	465580	20155	430362	410207	197162	-105186	45988	151174	263092	175996	212830	36834	13428	199286	-45980	56076	102056	41154	86209	-4675	20648	25323	40238	90591	-20155	35218	55373	0	1	0
20.04.2010	453885	20492	421886	401394	202288	-113392	44448	157840	263645	178290	214263	35973	13409	188599	-31286	59319	90605	38675	80641	-13120	15749	28869	36023	84490	-20492	31999	52491	0	1	0
27.04.2010	451749	19927	419122	399195	216686	-121196	47745	168941	260362	181344	215059	33715	11588	178136	-28406	57437	85843	34856	79144	-11815	14892	26707	37545	85181	-19927	32627	52554	0	1	0
04.05.2010	452413	20848	421839	400991	227943	-136615	45664	182279	263197	191208	221518	30310	11369	173568	-17793	60253	78046	35269	80820	-15952	17102	33054	30664	81996	-20848	30574	51422	0	1	0
11.05.2010	454988	20540	423330	402790	235983	-139951	48016	187967	266634	197384	225288	27904	13442	171139	-17952	58244	76196	36699	76510	-18941	15928	34869	25713	83856	-20540	31658	52198	0	1	0
18.05.2010	467393	22168	434649	412481	233584	-124998	54293	179291	270724	195193	226163	30970	13591	186722	-33295	57395	90690	38637	77496	-14732	18194	32926	26376	87656	-22168	32744	54912	0	1	0
25.05.2010	488828	21761	455148	433387	243746	-117870	62938	180808	273509	192508	225162	32654	15693	197501	-41369	56740	98109	42652	84384	-11508	20913	32421	31050	89121	-21761	33680	55441	0	1	0
01.06.2010	500642	18947	462012	443065	246440	-114292	66074	180366	275346	188116	221333	33217	20796	199722	-47516	54241	101757	43724	86111	-7361	22906	30267	32938	96207	-18947	38630	57577	0	1	0
08.06.2010	502832	19987	463958	443971	251994	-110832	70581	181413	270542	178156	214012	35856	20674	198182	-47496	55359	102855	39968	95347	159	32142	31983	31222	97735	-19987	38874	58861	0	1	0
15.06.2010	507055	18544	466703	448159	256539	-109399	73570	182969	265506	183560	216567	33007	15932	204135	-56406	54374	110780	38981	100544	789	34054	33265	33225	99248	-18544	40352	58896	0	1	0
22.06.2010	479135	20730	441236	420506	238726	-114594	62066	176660	257422	184207	212980	28773	15669	190018	-41488	57978	99466	32574	96412	-7395	29048	36443	30921	96528	-20730	37899	58629	0	1	0
29.06.2010	455011	23760	422029	398269	227528	-115844	55842	171686	252843	186723	211991	25268	15584	183366	-35333	60713	96046	26607	85836	-11786	22758	34544	28534	89724	-23760	32982	56742	0	1	0
06.07.2010	454067	26551	421136	394585	237324	-127012	55156	182168	250714	188780	209315	20535	20864	161831	-16618	60305	76923	24603	91164	-18599	21672	40271	29221	92413	-26551	32931	59482	0	1	0
13.07.2010	466444	27953	432595	404642	255693	-149695	52999	202694	240373	194575	203053	8478	28842	156131	3230	66055	62825	27251	95991	-20157	21439	41596	32956	95651	-27953	33849	61802	0	1	0
20.07.2010	478436	25626	442241	416615	273942	-169276	52333	221609	248127	192567	206304	13737	28086	158827	17462	72372	54910	31545	94021	-15127	27293	42420	24308	98016	-25626	36195	61821	0	1	0
27.07.2010	496806	25649	459536	433887	290593	-174671	57961	232632	250770	193108	207995	14887	27888	159372	29070	77509	48439	33424	102046	-21858	25429	47287	29330	100189	-25649	37270	62919	0	1	0
03.08.2010	499114	25927	465699	439772	294629	-184661	54984	239645	256212	190046	205913	15867	34432	162685	29226	78567	49341	34777	100403	-8684	34693	43377	22333	92757	-25927	33415	59342	0	1	0
10.08.2010	509803	21245	464601	443356	282013	-181101	50456	231557	252195	175389	199852	24463	27880	165988	34788	81641	46853	37494	109921	-7831	34812	42643	32466	111649	-21245	45202	66447	0	1	0
17.08.2010	507278	17030	464398	447368	280936	-182044	49446	231490	247161	165631	190509	24878	31774	164380	40127	85976	45849	32555	118676	-6684	37854	44538	36284	102790	-17030	42880	59910	0	1	0
24.08.2010	505360	20785	465332	444547	290289	-179561	55364	234925	239611	163603	186342	22739	30530	164726	39655	87588	47933	29205	119896	-2912	40681	43593	35622	100841	-20785	40028	60813	0	1	0
