Week dynamic with cut																												
Date	WeekDynamic_Open_Interest_Total	WeekDynamic_Reportable_Positions_Net	WeekDynamic_Reportable_Positions_Long	WeekDynamic_Reportable_Positions_Short	WeekDynamic_Prod_Merc_Positions_Total	WeekDynamic_Prod_Merc_Positions_Net	WeekDynamic_Prod_Merc_Positions_Long	WeekDynamic_Prod_Merc_Positions_Short	WeekDynamic_Swap_Positions_Total	WeekDynamic_Swap_Positions_Net	WeekDynamic_Swap_Positions_Long	WeekDynamic_Swap_Positions_Short	WeekDynamic_Swap_Positions_Spread	WeekDynamic_M_Money_Positions_Total	WeekDynamic_M_Money_Positions_Net	WeekDynamic_M_Money_Positions_Long	WeekDynamic_M_Money_Positions_Short	WeekDynamic_M_Money_Positions_Spread	WeekDynamic_Other_Rept_Positions_Total	WeekDynamic_Other_Rept_Positions_Net	WeekDynamic_Other_Rept_Positions_Long	WeekDynamic_Other_Rept_Positions_Short	WeekDynamic_Other_Rept_Positions_Spread	WeekDynamic_NonRept_Positions_Total	WeekDynamic_NonRept_Positions_Net	WeekDynamic_NonRept_Positions_Long	WeekDynamic_NonRept_Positions_Short	biNet
23.03.2010	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0782549	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	1
30.03.2010	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,1499893	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,2239243	0,0000000	0,0000000	0,0000000	0,0827383	-0,0863153	0,0883551	0,0000000	0,0000000	0,0000000	0,1363226	0,0000000	0,0000000	0,0000000	0,0000000	1
06.04.2010	0,0398278	0,0000000	0,0395697	0,0359136	0,0000000	0,0000000	0,0000000	0,0000000	0,0306422	0,0000000	0,0000000	0,0000000	0,2338170	0,0408185	0,0000000	0,0000000	0,0000000	0,1243411	0,0000000	0,0000000	0,1768382	0,0000000	0,0000000	0,0591541	0,0000000	0,0000000	0,0693956	1
13.04.2010	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0901144	0,0000000	0,0000000	0,0000000	0,0873374	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	1
20.04.2010	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	-0,0536264	0,0000000	0,0578322	-0,1122031	0,0000000	-0,0645872	1,8064171	-0,2372627	0,1400308	0,0000000	-0,0673466	0,0000000	-0,0914021	-0,0520470	1
27.04.2010	0,0000000	0,0000000	0,0000000	0,0000000	0,0711757	0,0000000	0,0000000	0,0703307	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	-0,0554775	0,0000000	0,0000000	0,0000000	-0,0987460	0,0000000	0,0000000	0,0000000	-0,0748900	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	1
04.05.2010	0,0000000	0,0000000	0,0000000	0,0000000	0,0519507	0,0000000	0,0000000	0,0789506	0,0000000	0,0543939	0,0300336	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	-0,0908286	0,0000000	0,0000000	0,0000000	0,1484018	0,2376530	-0,1832734	-0,0373910	0,0000000	-0,0629233	0,0000000	1
11.05.2010	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0322999	0,0000000	0,0000000	0,1823379	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	-0,0533284	0,0000000	0,0000000	0,0000000	-0,1614597	0,0000000	0,0000000	0,0000000	0,0000000	1
18.05.2010	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,1307273	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0910546	0,8546680	0,0000000	0,1902200	0,0000000	0,0000000	0,0000000	0,1422652	0,0000000	0,0000000	0,0453158	0,0000000	0,0000000	0,0519943	1
25.05.2010	0,0458608	0,0000000	0,0471622	0,0506835	0,0000000	0,0000000	0,1592286	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,1546612	0,0577275	0,0000000	0,0000000	0,0818062	0,1039159	0,0888820	0,0000000	0,1494449	0,0000000	0,1772066	0,0000000	0,0000000	0,0000000	0,0000000	1
